ID or #		Start	End
272		4025632	4026795
273		4026805	4028994
274		2459328	2460668
275		1234161	1234880
276		3068187	3069266
277		4452634	4453632
278		4078322	4079251
279		4295242	4297389
280		4512376	4514700
281		4511429	4512331
282		4510434	4511432
283		4509481	4510437
284		4508713	4509480
285		4515737	4516258
286		4514787	4515740
287		609477	611717
288		622777	623733
289		618607	619422
290		620408	621412
291		617477	618610
292		619419	620411
293		612038	613162
294		2744456	2745817
295		2852360	2854438
296		167484	169727
297		171462	173444
298		169778	170575
299		170575	171465
300		1158585	1160774
301		3488883	3489485
302		4541138	4541686
303		4538980	4539582
304		4542327	4543052
305		4543119	4545755
306		4540060	4540656
307		4545765	4546295
308		4546308	4546811
309		4546831	4547733
310		200971	201996
311		3409293	3409589
312		710158	710688
313		1975290	1975868
314		1975871	1976221
315		2000134	2001630
316		2017642	2018106
317		2018111	2019115
318		2019112	2019525
319		1396798	1397550
320		49823	50302
321		2429696	2430964
322		556098	556964
323		3808366	3809175
324		4378533	4380341
325		4377806	4378540
326		4377400	4377795
327		4377030	4377389
328		4024550	4025251
329		192872	193429
330		2257741	2259432
331		2259449	2260387
332		88028	89032
333		103982	105244
334		3600102	3600770
335		91413	93179
336		103155	103985
337		3602416	3603012
338		98403	99647
339		3599051	3600109
340		3600773	3602266
341		105305	106456
342		2931063	2931710
343		2933606	2935381
344		2935460	2936908
345		2929887	2931038
346		2932257	2933573
347		2937390	2938121
348		2936910	2937332
349		1684755	1686401
350		4343703	4345349
351		1683209	1684612
352		709423	709869
353		3469422	3471536
354		2790757	2792037
355		790262	791278
356		788054	789202
357		2974621	2975652
358		2238650	2239690
359		789206	790252
360		1860795	1861790
361		3070694	3071713
362		138835	141225
363		2638708	2639826
364		3047182	3047571
365		1840395	1841738
366		16751	16903
367		3583104	3584846
368		3921767	3923656
369		3921080	3921703
370		3564623	3566056
371		3569339	3571525
372		3566056	3567351
373		3562157	3564604
374		3567369	3569342
375		3909862	3911691
376		4054648	4056057
377		2685092	2685430
378		4051892	4053301
379		846481	847227
380		4053313	4054362
381		845683	846342
382		844964	845686
383		705316	706980
384		2350669	2352297
385		2352287	2353546
386		2353543	2354733
387		3560036	3561541
388		3559520	3559846
389		4115268	4116113
390		3558645	3559475
391		4113737	4115245
392		2347957	2349033
393		3557870	3558628
394		2349038	2350396
395		752408	753691
396		3352654	3357207
397		3357220	3358638
398		4292504	4293817
399		3825483	3826688
400		2517279	2518694
401		2682276	2683529
402		3722430	3723341
403		3720351	3722420
404		2097886	2099292
405		3644322	3645674
406		3960768	3962252
407		255977	256435
408		3326261	3326737
409		2748137	2748730
410		889719	889976
411		2812905	2814461
412		3089900	3090850
413		2628980	2630557
414		2630626	2632092
415		113444	114487
416		2334815	2337442
417		3875728	3878142
418		1695297	1696064
419		1023694	1025748
420		1262937	1264193
421		387977	388951
422		3987848	3988789
423		3987111	3987851
424		497279	498241
425		173602	174882
426		3985908	3987089
427		3984709	3985905
428		4401323	4402327
429		4400061	4401320
430		4398695	4399975
431		4398311	4398619
432		479314	479532
433		1793277	1793576
434		963051	963335
435		1590200	1590466
436		1588878	1590200
437		2093149	2093886
438		2091492	2092559
439		2090422	2091492
440		2089121	2090425
441		2093868	2094644
442		2088216	2089115
443		2092559	2093149
444		2094638	2095249
445		2421758	2422531
446		2637323	2638597
447		2432846	2433658
448		200482	200967
449		2683857	2685047
450		1291732	1292145
451		4579482	4581071
452		4581272	4584784
453		4578091	4579485
454		494344	496218
455		1909719	1910600
456		180884	182308
457		1114885	1115805
458		3181835	3182488
459		4198304	4198576
460		460675	460947
461		1031362	1032480
462		1032477	1034270
463		1034289	1034996
464		1034993	1035580
465		1035577	1035975
466		1035972	1036829
467		2847996	2848457
468		2847260	2847871
469		2845437	2847263
470		2844511	2845434
471		2842784	2844493
472		2842232	2842774
473		2841465	2842232
474		2841058	2841468
475		4201343	4202668
476		2848669	2849019
477		2849023	2849895
478		2849886	2850158
479		2850158	2851279
480		2851276	2852286
481		2874603	2875640
482		1194346	1195596
483		3057775	3058668
484		4220827	4221651
485		22391	25207
486		3953354	3954898
487		3849119	3850807
488		3955993	3957468
489		3951501	3953351
490		3950507	3951436
491		87357	87848
492		85630	87354
493		3950224	3950487
494		3848825	3849115
495		3954950	3955843
496		925448	925666
497		3311364	3314036
498		1798120	1798662
499		564038	565201
500		439426	440325
501		1811891	1814152
502		2864581	2865573
503		4131858	4134038
504		3789378	3790574
505		726282	727955
506		724211	726259
507		723630	724202
508		720953	723637
509		720279	720956
510		1267388	1268242
511		970075	970821
512		3806563	3807840
513		47769	49631
514		2722470	2723768
515		51609	52430
516		360473	361084
517		365652	366734
518		361150	362403
519		362455	365529
520		4245994	4247334
521		2703347	2705146
522		2702357	2703331
523		84368	85312
524		671424	674006
525		4255138	4255746
526		2526183	2528198
527		1197918	1198811
528		3590747	3591460
529		3591462	3592229
530		3593500	3594426
531		3596578	3597681
532		3594474	3595583
533		3592226	3593503
534		458112	460466
535		127912	129336
536		1755445	1755681
537		202560	203348
538		203348	204496
539		931818	932312
540		25207	25701
541		2975659	2976921
542		4229907	4231256
543		2977043	2977978
544		3031679	3033196
545		4351223	4352740
546		4243252	4244442
547		4241554	4243098
548		4240649	4241539
549		1696176	1697204
550		4244807	4245922
551		4247577	4248497
552		3548102	3550495
553		3546008	3548092
554		3551107	3553812
555		1697379	1698971
556		1698981	1700153
557		421739	423556
558		1686600	1687775
559		1900072	1901043
560		1901106	1901906
561		1901910	1902770
562		188712	189506
563		2909113	2909361
564		2907916	2908707
565		1209569	1210402
566		4575981	4577360
567		4574935	4575981
568		3381352	3382290
569		4339934	4341289
570		4341404	4342813
571		2375611	2377281
572		2443582	2444406
573		4212303	4213232
574		4126695	4127855
575		3150258	3151445
576		4011076	4013337
577		4130639	4131529
578		2192322	2194355
579		4221851	4225534
580		4126101	4126418
581		3084728	3085882
582		4127858	4130290
583		4009886	4010839
584		2235791	2237311
585		2237372	2238370
586		2234765	2235775
587		4397275	4398225
588		1224608	1225303
589		1223772	1224584
590		1223502	1223768
591		4369048	4370694
592		4368711	4369004
593		1974276	1975163
594		1973353	1974279
595		2808792	2809322
596		96002	97084
597		164730	167264
598		665539	667440
599		664424	665536
600		3398066	3399109
601		3396897	3398000
602		3396409	3396897
603		2191081	2192190
604		4584972	4585886
605		965844	967592
606		1937246	1938217
607		3770304	3772217
608		3772447	3773595
609		3302595	3303839
610		975549	980009
611		100765	102240
612		97087	98403
613		93166	94653
614		94650	96008
615		99644	100711
616		2967684	2968373
617		2855115	2857676
618		111044	111433
619		3101035	3102087
620		567538	567870
621		781308	782351
622		2708442	2710064
623		700826	701974
624		702034	702834
625		698797	699549
626		703167	705113
627		699597	700817
628		3370705	3371598
629		1279087	1282830
630		1282827	1284365
631		1285072	1285749
632		1284362	1285072
633		1277180	1278571
634		1274402	1275052
635		1533961	1534641
636		1534638	1535333
637		1275045	1276841
638		1535333	1536877
639		1536874	1540614
640		1165308	1166612
641		2642455	2642886
642		2248862	2249719
643		17489	18655
644		3492033	3494576
645		3495025	3495831
646		3494573	3494899
647		3332931	3333209
648		3837198	3838016
649		2595853	2596887
650		2342887	2345172
651		2345406	2346536
652		1709547	1710182
653		1820482	1821309
654		3103736	3104992
655		3314061	3315548
656		434361	434780
657		4175766	4176311
658		1397745	1398260
659		1018236	1019276
660		2309668	2310771
661		985117	986205
662		3533887	3534606
663		583903	584856
664		1299206	1300837
665		1300923	1301843
666		1301858	1302766
667		1302778	1303791
668		1303788	1304792
669		1341134	1341352
670		1554649	1555080
671		4156513	4157430
672		3488288	3488851
673		1892829	1894190
674		778290	778811
675		3405629	3407080
676		3161737	3163995
677		3171526	3173418
678		3530840	3532462
679		2866915	2867541
680		157729	159126
681		52427	53416
682		2434737	2435873
683		2699020	2699751
684		4482463	4483974
685		254259	255716
686		989845	992457
687		3051537	3052862
688		4029184	4030515
689		4105575	4106537
690		1804394	1805323
691		950495	952777
692		4231781	4233430
693		3069481	3070644
694		435813	436331
695		1337354	1338118
696		1990293	1990841
697		2735767	2736927
698		601182	602558
699		1795983	1796966
700		1793581	1795968
701		4324422	4324757
702		4323321	4323764
703		4322400	4323188
704		4321359	4322375
705		4319720	4320445
706		4319267	4319719
707		4318686	4319270
708		4317622	4318686
709		4316784	4317629
710		4316029	4316787
711		4315238	4315918
712		4314105	4315241
713		4313548	4314105
714		4313127	4313561
715		4312367	4313125
716		400971	402386
717		416366	417055
718		258269	259324
719		4634719	4636143
720		1188999	1189670
721		1187539	1188999
722		417113	418408
723		3908508	3909548
724		3904876	3905601
725		738730	740148
726		1208908	1209462
727		4002885	4003754
728		4007193	4008215
729		4252066	4254489
730		4455982	4457334
731		988377	989579
732		3307055	3309190
733		1674395	1675927
734		1672996	1674384
735		4044989	4047775
736		63429	65780
737		3520893	3523445
738		1183681	1184817
739		1182840	1183667
740		1182049	1182843
741		1181006	1182052
742		716169	717488
743		908554	910272
744		4447145	4447675
745		4148470	4151121
746		3489747	3490319
747		553166	553660
748		1782758	1785136
749		1910792	1912840
750		1264235	1265317
751		3033206	3034304
752		4122635	4124833
753		4423543	4423857
754		489509	490036
755		3440788	3442119
756		260727	261980
757		259612	260715
758		404059	404868
759		217057	218775
760		2802837	2804039
761		2804032	2805096
762		2805154	2806146
763		1260151	1261098
764		4387415	4388383
765		1366103	1366771
766		1366825	1367049
767		1367049	1367408
768		1367417	1367638
769		1367713	1368027
770		2720749	2722104
771		3906572	3907462
772		3905616	3906389
773		3907462	3908421
774		1257152	1257736
775		2954018	2956906
776		1157092	1158525
777		2531786	2532043
778		2532088	2533815
779		4402710	4404008
780		2594927	2595640
781		4202665	4203954
782		551814	552323
783		2426743	2428260
784		4203966	4205555
785		550750	551817
786		2689678	2693565
787		2619219	2620256
788		2620256	2620894
789		1735868	1736893
790		1074143	1078105
791		1078528	1080036
792		1935673	1937115
793		1753722	1755134
794		4469483	4470418
795		1120784	1121830
796		1003991	1005001
797		3813150	3813791
798		1339945	1340682
799		2906051	2907688
800		4469009	4469470
801		424235	425305
802		1415512	1415787
803		3931801	3933306
804		3934301	3935191
805		3933311	3934276
806		3931374	3931793
807		3935317	3936246
808		3936250	3937242
809		2021992	2022615
810		2314199	2314849
811		2315049	2317898
812		2820730	2821791
813		2950483	2954025
814		2957082	2960450
815		2948657	2950483
816		1412810	1415410
817		3878171	3879244
818		3823233	3825314
819		3034395	3036128
820		2749817	2751478
821		2699763	2700491
822		4003887	4005716
823		493629	494234
824		2909439	2911673
825		1643657	1643896
826		3958700	3960721
827		3792010	3792942
828		4022356	4022844
829		3965939	3967042
830		2001896	2003302
831		4096669	4097517
832		4095759	4096595
833		3962388	3963653
834		3964440	3965699
838		522485	526765
839		4606208	4606654
840		1124785	1125369
841		891190	892092
842		1496962	1497501
843		663325	664413
844		670828	671409
845		643420	644226
846		2701405	2702085
847		1884888	1886015
848		1140405	1143590
849		235535	236002
850		204493	205089
851		3882516	3882875
852		4176902	4177606
853		3448565	3449386
854		3450319	3450948
855		3449703	3450308
856		3444921	3445460
857		3443629	3444162
858		4424131	4424580
859		4178019	4178516
860		4176470	4176898
861		4178583	4178948
862		3376245	3376673
863		3445800	3446171
864		3442127	3442561
865		3446781	3447191
866		3437638	3438021
867		3443266	3443619
868		2742205	2742552
869		1797417	1797773
870		3447923	3448255
871		3449404	3449706
872		3445475	3445789
873		2280539	2280823
874		3809461	3809697
875		3446590	3446781
876		3442565	3442744
877		4125036	4125248
878		1146590	1146763
879		3809273	3809440
880		3882359	3882499
881		3438062	3439051
882		4179268	4183296
883		4183373	4187596
884		3211069	3212910
885		3597952	3598806
886		3342739	3344172
887		3820129	3820404
888		961218	962891
889		189874	190599
890		3447204	3447905
891		3439077	3439697
892		3442748	3443251
893		4423141	4423536
894		3471564	3472103
895		3444175	3444567
896		3375837	3376229
897		3450981	3451292
898		3439731	3440120
899		3472200	3472574
900		3440137	3440493
901		3444601	3444906
902		3309437	3309706
903		2743959	2744207
904		3446336	3446590
905		4423862	4424089
906		3448270	3448548
907		20815	21078
908		3208803	3209018
909		1986740	1987237
910		4172099	4173049
911		1943389	1944000
912		1942370	1943380
913		1944879	1945400
914		2080780	2082207
915		411831	414977
916		395863	397083
917		4106857	4107846
918		1894956	1896320
919		755130	756896
920		756912	757628
921		754400	754789
922		754783	755130
923		1994134	1994856
924		108279	110984
925		3781684	3782151
926		426871	428718
927		4175381	4175764
928		428729	429700
929		3757881	3759272
930		3756040	3757884
931		1844989	1846032
932		3055200	3056432
933		4622918	4623886
934		956876	957964
935		938651	939943
936		1551996	1553693
937		160782	161486
938		4628756	4630693
939		4622168	4622812
940		2751627	2751968
941		4098833	4099453
942		1733402	1733983
943		3275024	3275359
944		1327356	1328405
945		4275492	4275956
946		4275083	4275406
947		3081957	3083933
948		3080899	3081819
949		3105042	3107177
950		134788	135582
951		135598	136464
952		717485	719683
953		3819451	3820074
954		3820423	3822531
955		3822538	3823227
956		1846861	1848717
957		2823854	2824417
958		2825384	2825755
959		2825759	2826538
960		2826643	2827002
961		2827835	2828800
962		2827069	2827842
963		2710918	2712252
964		4272148	4272684
965		3374804	3375442
966		3374301	3374798
967		757929	760730
968		760745	761962
969		762237	763403
970		763403	764272
971		2661464	2662267
972		1019633	1020142
973		53416	54702
974		3711115	3711678
975		1967407	1969008
976		1969054	1970715
977		3264149	3265087
978		3263061	3264050
979		3261708	3263039
980		3265402	3265620
981		3788343	3789368
982		1292750	1293367
983		473525	474385
984		425361	426488
985		3884851	3886215
986		337	2799
987		2801	3733
988		3734	5020
989		1798666	1800594
990		2962383	2963177
991		454357	455655
992		1924803	1926863
993		3886753	3888168
994		3888259	3889506
995		775565	776830
996		776963	778255
997		3176137	3177618
998		774376	775068
999		775072	775500
1000		1309113	1309832
1001		1329072	1331669
1002		1843023	1844984
1003		4108763	4109530
1005		1244902	1246599
1006		1490494	1492134
1007		3434540	3435916
1008		1421806	1423263
1009		4031168	4032619
1010		4160193	4161293
1011		2742594	2743361
1012		1314440	1315246
1013		1315246	1316439
1014		1316451	1317809
1015		1317813	1319408
1016		1319408	1320970
1017		4630783	4631109
1018		3510656	3511660
1019		3963784	3964113
1020		930308	931273
1021		190857	191708
1022		4589680	4591335
1023		430353	431237
1024		3468167	3469351
1026		1682283	1683212
1027		2736970	2738091
1028		4265137	4266330
1029		1987705	1988916
1030		1384744	1386285
1031		1713972	1715246
1032		2426079	2426648
1033		4014454	4015215
1034		3588047	3588934
1035		3589032	3590348
1036		3586133	3587203
1037		3587205	3588050
1038		3585393	3586136
1039		3848159	3848749
1040		3846657	3848159
1041		3845328	3846647
1042		3843799	3845190
1043		1692284	1694095
1044		1230409	1231677
1045		1229990	1230409
1046		2714776	2715465
1047		2433658	2434671
1048		504138	505790
1049		4269072	4271894
1050		812749	814770
1051		1990898	1992730
1052		3996006	3998168
1053		1607253	1608704
1054		4549659	4550843
1055		4479005	4481860
1056		2028472	2028942
1057		3994310	3995206
1058		3036134	3036844
1059		3036869	3037765
1060		2632254	2633624
1061		1830452	1831258
1062		3727466	3728788
1063		3725940	3727394
1064		4238802	4240277
1065		18715	19620
1066		21407	22348
1067		25826	26275
1068		26277	27227
1069		27293	28207
1070		60358	63264
1071		89634	90092
1072		90094	91035
1073		91032	91397
1074		107705	108217
1075		122092	122856
1076		136570	136917
1077		178455	179153
1078		256527	257771
1080		406203	406394
1081		414974	416176
1082		423561	424142
1083		426511	426843
1084		429829	430176
1085		440325	440567
1086		475896	476249
1087		493300	493629
1088		498238	499197
1089		499349	500653
1090		563071	563703
1091		621523	622773
1092		628523	628936
1093		631405	631602
1094		738224	738733
1095		764376	765098
1096		773975	774379
1097		921589	921813
1098		925951	926655
1099		1029982	1030641
1100		1039668	1039760
1101		1116030	1117082
1102		1121936	1122496
1103		1144163	1145122
1104		1146017	1146538
1105		1207740	1208342
1106		1309872	1310270
1107		1310375	1310914
1108		1310944	1311687
1109		1312044	1312682
1110		1312742	1313248
1111		1313294	1313794
1112		1313880	1314059
1113		1340682	1341008
1114		1642675	1642926
1115		1643143	1643298
1116		1643370	1643657
1117		1785469	1786302
1118		1790291	1790755
1119		1846149	1846700
1120		1849911	1850552
1121		1944275	1944877
1122		1945435	1946175
1123		1946204	1946656
1124		1988978	1989643
1125		1992727	1993383
1126		2027563	2028483
1127		2332978	2334666
1128		2337589	2338311
1129		2442773	2443582
1130		2513665	2515854
1131		2519615	2520499
1132		2589269	2589625
1133		2597928	2598500
1134		2599223	2599840
1135		2735176	2735517
1136		2741647	2742129
1137		2743392	2743940
1138		2960463	2960786
1139		2960771	2961178
1140		2961175	2961738
1141		2977965	2978657
1142		3054263	3054811
1143		3066195	3066830
1144		3066969	3067829
1145		3071998	3072711
1146		3072708	3073217
1147		3177766	3178437
1148		3178443	3179603
1149		3179641	3180429
1150		3180572	3181345
1151		3204485	3205396
1152		3205393	3205998
1153		3207552	3208565
1154		3260474	3261682
1155		3265876	3266415
1156		3266437	3267624
1157		3268647	3269792
1158		3269889	3270773
1159		3309855	3310799
1160		3310799	3311200
1161		3315576	3316028
1162		3436046	3436456
1163		3464819	3465013
1164		3483436	3483840
1165		3514042	3515328
1166		3584966	3585406
1167		3724947	3725384
1169		3790849	3791706
1170		3794002	3794961
1171		3807848	3808327
1172		3812517	3813113
1173		3814699	3815562
1174		3815783	3816607
1175		3826968	3828359
1176		3874163	3874975
1177		3875090	3875488
1178		3883099	3884745
1179		3911853	3913223
1180		3924035	3924478
1181		3993606	3994313
1182		3995206	3995922
1183		4048156	4048788
1184		4163451	4164308
1185		4170080	4171108
1186		4211257	4211640
1187		4211703	4212146
1188		4218324	4220510
1189		4238348	4238758
1190		4325158	4327386
1191		4380666	4381643
1192		4404213	4404638
1193		4597718	4598212
1194		4599647	4600120
1195		4633544	4634017
1196		4634030	4634719
1197		1489701	1489874
1198		1932863	1934338
1199		2144716	2145564
1200		4154873	4156246
1201		2019528	2019893
1202		4363495	4364796
1203		81958	83529
1204		1545425	1548472
1205		1548485	1549369
1206		1549362	1550015
1207		4338743	4339651
1208		1797826	1798023
1209		3440640	3440756
1210		1680906	1682207
1211		1771813	1772679
1212		830095	831459
1213		331595	332683
1214		3465182	3467875
1215		806656	807132
1216		796836	797654
1217		1489946	1490095
1218		944154	944780
1219		945094	946242
1220		3065362	3066102
1221		3073239	3074204
1222		1395696	1396646
1223		2911721	2913022
1224		2908778	2909113
1225		4446470	4446721
1226		1266543	1267352
1227		974845	975549
1228		980270	982117
1229		667471	667938
1230		667942	668259
1231		400610	400870
1232		402927	404042
1233		952832	953689
1234		4404677	4407118
1235		3946472	3947992
1236		890407	891129
1237		3490590	3491771
1238		3451530	3451949
1239		960424	961107
1240		3787070	3788104
1241		3725430	3725771
1242		3432236	3433183
1243		2088020	2088070
1244		3948345	3948443
1245		2735621	2735668
1246		1797250	1797294
1247		1321062	1321106
1248		3850913	3851011
1249		3886458	3886532
1250		190	255
1251		4470422	4470556
1252		83622	83708
1253		4395435	4397282
1254		2599840	2601858
1255		202101	202556
1256		2685491	2686825
1257		4151719	4152870
1258		2854475	2854828
1259		409368	410276
1260		2233287	2234522
1261		2239832	2240989
1262		3079935	3080693
1263		3147684	3148568
1264		1262100	1262723
1265		1261249	1262100
1266		3967054	3968100
1267		4623935	4625317
1268		4041441	4042067
1269		3395807	3396400
1270		3394348	3395817
1271		1646532	1646687
1272		1646689	1646817
1273		1646847	1647065
1274		1647818	1648009
1275		658170	658373
1276		658474	659439
1277		1472245	1473105
1278		1473168	1475474
1279		3408302	3409267
1280		3809914	3810582
1281		4097514	4098548
1282		1189839	1191209
1283		3401506	3402480
1284		3735520	3737550
1285		1148951	1149880
1286		1149893	1150627
1287		1290680	1291588
1288		432226	432675
1289		432679	433782
1290		433871	434341
1291		3052888	3053466
1292		3050362	3051540
1293		1333855	1336530
1294		355395	356678
1295		354146	355405
1296		2654770	2655105
1297		2789295	2790743
1298		2792275	2793675
1299		1336594	1337184
1300		2618268	2618894
1301		3049137	3050339
1302		3817511	3819193
1303		4625338	4626570
1304		3088369	3089076
1305		2245085	2246554
1306		1113030	1113404
1307		3803966	3805090
1308		3803176	3803973
1309		3805087	3806121
1310		1297821	1298468
1311		1113487	1114713
1312		1191890	1192996
1313		1191213	1191854
1314		2010724	2011038
1315		2011253	2012911
1316		3882839	3883096
1317		3802204	3803139
1318		3801081	3802160
1319		3800062	3801081
1320		3799006	3800022
1321		2809449	2810621
1322		1999094	1999813
1323		1998497	1999048
1324		832293	834443
1325		3333257	3334516
1326		3463565	3464242
1327		3734376	3735200
1328		2137783	2139636
1329		159186	160112
1330		4394088	4395425
1331		3898627	3900243
1332		4632464	4633333
1333		2913079	2915835
1334		2373984	2374841
1335		4250529	4251026
1336		4251039	4251911
1337		2695937	2696572
1338		2695376	2695879
1339		2693823	2695379
1340		157253	157732
1341		2241006	2241674
1342		3159279	3160691
1343		3160766	3161503
1344		1762042	1762410
1345		1038519	1039655
1346		1036963	1038507
1347		3189761	3189961
1348		3347828	3348481
1349		638168	638731
1350		638976	640541
1351		2004180	2005667
1352		2003327	2003737
1353		2003737	2004102
1354		3638134	3638568
1355		4609419	4610024
1356		1232399	1233940
1357		1231723	1232253
1358		4159147	4159794
1359		4159794	4160153
1360		4023011	4024504
1361		3654431	3654763
1362		3653989	3654315
1363		3653278	3653925
1364		402505	402825
1365		4461077	4462732
1366		2623137	2624678
1367		1255944	1257035
1368		928419	930185
1369		1740625	1741266
1370		1236794	1238092
1371		1238102	1239172
1372		967589	968575
1373		4455337	4455888
1374		185978	188650
1375		669797	670828
1376		4481860	4482303
1377		4605826	4606239
1378		847631	848134
1379		4458545	4460683
1380		2139658	2140239
1381		2276592	2277782
1382		357015	357914
1383		2346844	2347494
1384		3796262	3797335
1385		3794971	3796230
1386		3798290	3798988
1387		3797368	3798219
1388		3077666	3079657
1389		4157413	4158813
1390		4187809	4188348
1391		1186342	1187463
1392		2516489	2516833
1393		2516835	2517227
1394		4439561	4440199
1395		1617598	1617981
1396		1617144	1617578
1397		4493213	4494232
1398		1146844	1147914
1399		1145234	1145818
1400		2810638	2812176
1401		3431712	3432221
1402		3641163	3643205
1403		3047595	3048689
1404		3056688	3057347
1405		3058872	3061016
1406		3061009	3062004
1407		2816983	2817168
1408		4283436	4285394
1409		3945151	3945990
1410		3946109	3946447
1411		3968156	3969286
1412		3969283	3970545
1413		3970545	3971612
1414		3971631	3972512
1415		3972490	3973164
1416		3973169	3974299
1417		3976624	3977976
1418		3977979	3978719
1419		3978910	3980295
1420		2583753	2585453
1421		3998315	3999079
1422		3999449	4000399
1423		4000442	4000822
1424		4000836	4001216
1425		4001311	4002201
1426		4002253	4002720
1427		4005780	4006400
1428		4006462	4007082
1429		4008223	4009023
